# Coordenadas de areas, gasoductos y plantas para el mapa.
# Areas: centroide de la concesion. Plantas y gasoductos: a mano.
# Las filas con lat/lon ya cargada NO se pisan al re-correr.
nombre,tipo,lat,lon,fuente,notas
25 DE MAYO - MEDANITO SUD ESTE LP,area,-38.00444,-67.78263,centroide concesion,
25 DE MAYO - MEDANITO SUD ESTE RN,area,-38.05404,-67.85466,centroide concesion,
AGUA DEL CAJON,area,-38.88128,-68.39644,centroide concesion,
AGUA SALADA,area,-38.35045,-67.86148,centroide concesion,
AGUADA BAGUALES,area,-38.82865,-68.88553,centroide concesion,
AGUADA CÁNEPA,area,-38.07496,-68.46459,centroide concesion,
AGUADA DE CASTRO,area,-38.26299,-69.56626,centroide concesion,
AGUADA DE LA ARENA,area,-38.20257,-69.10677,centroide concesion,
AGUADA DEL CHAÑAR,area,-38.08703,-68.55511,centroide concesion,
AGUADA DEL CHIVATO - AGUADA BOCAREY,area,-37.48326,-68.95513,centroide concesion,
AGUADA FEDERAL,area,-38.08392,-68.71742,centroide concesion,
AGUADA PICHANA ESTE,area,-38.34519,-69.21311,centroide concesion,
AGUADA PICHANA OESTE,area,-38.37964,-69.4078,centroide concesion,
AGUADA VILLANUEVA,area,-38.79123,-69.29205,centroide concesion,
AGUADA VILLANUEVA NORTE,area,-38.7684,-69.28333,centroide concesion,
AGUILA MORA,area,-37.68942,-69.06731,centroide concesion,
AL NORTE DE LA DORSAL,area,-38.83988,-69.19277,centroide concesion,
AL SUR DE LA DORSAL,area,-39.14512,-69.21083,centroide concesion,
ALTIPLANICIE DEL PAYUN,area,-36.68969,-69.30688,centroide concesion,
ANTICLINAL CAMPAMENTO,area,-38.98203,-69.72802,centroide concesion,
ATUEL NORTE EXPLOTACION,area,-35.16209,-69.44508,centroide concesion,
BAJADA DE AÑELO,area,-38.18796,-69.00361,centroide concesion,
BAJADA DEL PALO ESTE,area,-38.1714,-68.37219,centroide concesion,
BAJADA DEL PALO OESTE,area,-38.18693,-68.57722,centroide concesion,
BAJO BAGUALES,area,-38.91565,-68.95542,centroide concesion,
BAJO DEL CHOIQUE - LA INVERNADA,area,-37.59708,-69.2345,centroide concesion,
BAJO DEL PICHE,area,-38.27617,-68.04274,centroide concesion,
BAJO DEL TORO NORTE,area,-37.52169,-69.07581,centroide concesion,
BANDURRIA CENTRO,area,-38.16446,-68.83917,centroide concesion,
BANDURRIA NORTE,area,-38.11055,-68.97905,centroide concesion,
BANDURRIA SUR,area,-38.25928,-68.78391,centroide concesion,
BARRANCA DE LOS LOROS,area,-37.83833,-67.80258,centroide concesion,
CAJON DE LOS CABALLOS,area,-36.13261,-69.51393,centroide concesion,
