Area,Gasoducto,HUB,Destino,Volumen_inyectado,Sufijo,Clave_croma,C1,C2,C3,iC4,nC4,iC5,nC5,nC6,nC7,nC8,nC9,nC10,N2,CO2,z,densidad,PCS,IW
tbxelporton,,Otros,vmn,150.25749360493327,,tbxelporton,0.8577658494993415,0.11162277457197944,0.0016262762377689992,0.00015257774158933143,0.0004281343165891945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013849321745024939,0.014555065887706789,0.9974964106138,0.631693162937653,9563.610323135179,12032.857787440884
narambuena,,GPA,vmn,-9.010918688589641e-17,,narambuena,0.6970753264780742,0.13828140273829492,0.08780686564211204,0.010886623947441281,0.032542563696745005,0.007577268529559131,0.009496592583911214,0.004955364239411557,0.001693901967635282,0.0007705900437407176,0.0,0.0,0.0039041770502872774,0.00500932308278745,0.9951248593913143,0.8320732975558066,12699.99998578473,13922.682774001938
bajodeltoro,,GPA,vmn,122.2770260203318,,bajodeltoro,0.6970753264780742,0.13828140273829492,0.08780686564211204,0.010886623947441281,0.032542563696745005,0.007577268529559131,0.009496592583911214,0.004955364239411557,0.001693901967635282,0.0007705900437407176,0.0,0.0,0.0039041770502872774,0.00500932308278745,0.9951248593913143,0.8320732975558066,12699.99998578473,13922.682774001938
elporton,,GPA,vmn,27.98046758460148,,elporton,0.8517714933780884,0.0949988339974643,0.016423252360412074,0.001194270139007679,0.002686790647834176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016200805169351653,0.0167245543078417,0.9973991454738189,0.645933441259648,9676.414898296736,12039.836707012202
pampasch,,Otros,pampasch,1897.8865406006673,,pampasch,0.9133566065255344,0.053151658361513296,0.010461448903549001,0.0022400690999213866,0.001800448383888972,0.0005334827906296571,0.00034706898634138055,0.0004071262313241255,0.0002460207044164147,0.0,0.0,0.0,0.002836793273655873,0.014619276739225572,0.9975838408179317,0.6157834697552681,9500.043412167795,12106.30404018008
sierrachata,,Sierra Chata,pampasch,1900.0,,sierrachata,0.9133565517241381,0.0531516551724138,0.01046144827586207,0.002240068965517241,0.0018004482758620691,0.0005334827586206898,0.00034706896551724137,0.00040712620689655165,0.00024602068965517244,0.0,0.0,0.0,0.0028367931034482766,0.014619275862068968,0.9975838411078708,0.6157834326292879,9500.042839404085,12106.303675231657
sierrachatalng,,ARG LNG,pampasch,-2.1134593993325916,,sierrachatalng,0.9133565517241381,0.0531516551724138,0.01046144827586207,0.002240068965517241,0.0018004482758620691,0.0005334827586206898,0.00034706896551724137,0.00040712620689655165,0.00024602068965517244,0.0,0.0,0.0,0.0028367931034482766,0.014619275862068968,0.9975838411078708,0.6157834326292879,9500.042839404085,12106.303675231657
rincondelmangrullo,YPF RDM,EM / RDM,mega,2307.331688936464,,rincondelmangrullo,0.9716145152119411,0.0179859487948695,0.00127410791462967,0.000160252989262409,0.000122725291776915,1.85282087585359e-05,7.32793950899874e-06,1.27012891489628e-05,1.67694988763765e-06,0.0,0.0,0.0,0.00194452886970879,0.00685768654050757,0.9979158279718089,0.5729192197259196,9091.325852723636,12011.037646909577
elmangrullo,YPF RDM,EM / RDM,mega,-2987.126666370977,,elmangrullo,0.9057,0.056779,0.0246,0.002085,0.001313,0.0015,0.00025,0.00031499999999999996,9e-05,1.000000000139778e-06,0.0,0.0,0.0018,0.005567,0.9974677758511312,0.6222301914086271,9808.248226013016,12434.14445382258
lomalalatasierrabarrosa,YPF RDM,Loma la Lata-Sierra Barrosa,mega,-1.9494445557338575e-15,,lomalalatasierrabarrosa,0.8842543547248185,0.05827854216622827,0.02999389730439402,0.004202591655879963,0.0064777679571461745,0.001129465771506058,0.0009196346507125877,0.00105279320345544,0.00030079805813012573,0.00015039902906506286,0.0,0.0,0.005135626177310326,0.008104129301353267,0.9972758528892447,0.6462580274829305,10034.601747025004,12482.37327172303
