Area,Inyección,Gasoducto,Volumen,Coef_Inyeccion,Volumen_inyectado,Sufijo,Clave_croma,C1,C2,C3,iC4,nC4,iC5,nC5,nC6,nC7,nC8,nC9,nC10,N2,CO2,Vol_C1,Vol_C2,Vol_C3,Vol_iC4,Vol_nC4,Vol_iC5,Vol_nC5,Vol_nC6,Vol_nC7,Vol_nC8,Vol_nC9,Vol_nC10,Vol_N2,Vol_CO2,z,densidad,PCS,IW
vmn,Secundaria,TTY,2546.505717617134,1.0,2546.505717617134,,vmn,0.814805717069905,0.1052928868075447,0.04315921468739745,0.006833309757896331,0.012350572480419535,0.002922240560910622,0.002940299554560502,0.0014330431455316316,0.0004503524795206802,0.00031259855851937726,2.077973012726032e-05,0.0,0.0031876470299693335,0.006291338137697801,2074.907417265642,268.1289382798263,109.905186969323,17.40106236873196,31.450803437233173,7.4415022966116,7.487489627195431,3.6492525636883424,1.1468251640424654,0.7960340165884685,0.05291570157960942,0.0,8.117361387562184,16.02092853911018,0.996680982227291,0.7015154528978844,10872.25658530259,12980.78844880323
vms,Secundaria,TTY,2010.5833333333335,1.0,2010.5833333333335,,vms,0.8138080670116085,0.1029438581981305,0.04383872653696696,0.008742697617096467,0.012006695386358191,0.003911903823160637,0.0029760728456903938,0.004059222898447365,0.0012079226826576205,0.0006542212293531452,0.0,0.0,0.0028450335914063487,0.003005578179123932,1636.2289360657567,206.97720556219122,88.14141292978348,17.577922117307207,24.14046163222201,7.865208628449725,5.983642462331011,8.161405905903298,2.428629213706701,1.315366300050278,0.0,0.0,5.720177121655081,6.0429653939769254,0.9965336589439135,0.711758827741225,11092.035030696143,13147.549099146898
gpaamega,Secundaria,MEGA,-197.99905476038154,1.0,-197.99905476038154,,gpaamega,0.8706041895602793,0.0792308484725827,0.020828004912124425,0.0044929435746604435,0.00397091216511054,0.0011801447882241682,0.0006220763066476351,0.0006927110297112662,0.00030380071565339664,0.00026601669108131543,0.0,0.0,0.002380891441953255,0.015427460341971625,-172.37880660336333,-15.687633105434394,-4.12392528514522,-0.8895985808744975,-0.786236855228387,-0.23366755254877594,-0.123170520705061,-0.13715612910492128,-0.06015225453489998,-0.05267105338458487,-0.0,-0.0,-0.4714142549938263,-3.0546225650636543,0.9972675781742992,0.6493040933593628,9954.504077716396,12353.657554468184
pampasch,Secundaria,MEGA,-4493.995550611791,0.26100007664740466,-1172.933183162773,,pampasch,0.9133566065255344,0.053151658361513296,0.010461448903549001,0.0022400690999213866,0.001800448383888972,0.0005334827906296571,0.00034706898634138055,0.0004071262313241255,0.0002460207044164147,0.0,0.0,0.0,0.002836793273655873,0.014619276739225572,-1071.3062718547435,-62.343343832350016,-12.270580562934432,-2.62745137987536,-2.1118056540351624,-0.6257396677758028,-0.40708873092647246,-0.47753186645607,-0.288565847955093,-0.0,-0.0,-0.0,-3.3273689644439264,-17.147434801277335,0.9975838408179317,0.6157834697552681,9500.043412167795,12106.30404018008
totalapeasr,Secundaria,MEGA,7996.46815112959,0.7,5597.527705790713,,totalapeasr,0.8471228666485022,0.08727450136890949,0.03170048910270905,0.00636920752263158,0.006623661614575679,0.0014596254832154392,0.0010404562114689577,0.0011318941332600562,0.00039037276009400086,0.00013260041175591555,0.0,0.0,0.004391507394390486,0.012362817348487331,4741.793716273843,488.52143942154044,177.44436603953048,35.6518155718609,37.07612940136981,8.170294082376579,5.823982470359532,6.335808770945131,2.1851223402121613,0.7422344786029939,0.0,0.0,24.58158431028553,69.20121262978792,0.9970543936368628,0.6705968425955278,10288.935414955044,12564.340253375645
ypfrdm,Secundaria,MEGA,1220.14656437815,0.8185108588345543,998.7032123131904,,ypfrdm,0.8612995019404287,0.07550719829153414,0.03464118891858483,0.005234526404562136,0.00888434459282575,0.0014635618440942064,0.0012364232177646398,0.0010882630492937916,0.00033572964482163575,0.0002138701344049436,0.0,0.0,0.004790554091940934,0.005304837869744237,860.1825793516572,75.4092814865242,34.596266651338766,5.22773833517442,8.8728234841524,1.4616639151159008,1.234819839360157,1.0868518031714576,0.3352942747521341,0.21359279024807096,0.0,0.0,4.784341760381509,5.297958621314232,0.9970884387127541,0.6630858623439664,10336.689294882086,12693.943998898634
tbxelporton,Secundaria,MEGA,2.7,0.9190327258554905,2.4813883598098245,,tbxelporton,0.8577658494993415,0.11162277457197944,0.0016262762377689992,0.00015257774158933143,0.0004281343165891945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013849321745024939,0.014555065887706789,2.128450194390052,0.27697945351258585,0.004035422926235309,0.0003786046319458384,0.0010623675096195614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03436554576936597,0.036116771070020676,0.9974964106138,0.631693162937653,9563.610323135179,12032.857787440884
pampasch,Secundaria,CO (Troncal),1797.9977753058954,0.3694999616762977,664.3601090695968,,pampasch,0.9133566065255344,0.053151658361513296,0.010461448903549001,0.0022400690999213866,0.001800448383888972,0.0005334827906296571,0.00034706898634138055,0.0004071262313241255,0.0002460207044164147,0.0,0.0,0.0,0.002836793273655873,0.014619276739225572,606.7976947307408,35.31184154628492,6.950169334587828,1.488212551547206,1.1961460846946566,0.3544246849694718,0.230578789620434,0.2704784274475899,0.16344634201946828,0.0,0.0,0.0,1.8846522886939143,9.71246428899052,0.9975838408179317,0.6157834697552681,9500.043412167795,12106.30404018008
totalapeasr,Secundaria,CO (Troncal),3000.0,0.15,450.0,,totalapeasr,0.8471228666485022,0.08727450136890949,0.03170048910270905,0.00636920752263158,0.006623661614575679,0.0014596254832154392,0.0010404562114689577,0.0011318941332600562,0.00039037276009400086,0.00013260041175591555,0.0,0.0,0.004391507394390486,0.012362817348487331,381.205289991826,39.27352561600927,14.265220096219071,2.8661433851842113,2.9806477265590554,0.6568314674469476,0.468205295161031,0.5093523599670253,0.1756677420423004,0.059670185290162,0.0,0.0,1.9761783274757185,5.563267806819299,0.9970543936368628,0.6705968425955278,10288.935414955044,12564.340253375645
cotroncal,Cuaternaria,CO (Troncal),6329.106875927668,1.0,6329.106875927668,,cotroncal,0.8906230521885465,0.06547191907211601,0.017774234902041133,0.0036908623283477553,0.003425246221125172,0.0008876544781126509,0.0005707921362587842,0.0005998472169447937,0.00035060978642496073,9.128952167083512e-06,0.0,0.0,0.0027858268522649612,0.013810825865650285,5636.848483466216,414.37877317950927,112.49503233286207,23.35986214044818,21.678749409868587,5.618060060870764,3.612604434320913,3.7964971452713687,2.21904681002975,0.05777811393070304,0.0,0.0,17.631795885814096,87.4101929485269,0.9974040793263745,0.634579337978583,9779.998653054092,12277.101075337478
