Area,HUB,Gasoducto,Volumen,Coef_Inyeccion,Volumen_inyectado,Sufijo,Clave_croma,C1,C2,C3,iC4,nC4,iC5,nC5,nC6,nC7,nC8,nC9,nC10,N2,CO2,Vol_C1,Vol_C2,Vol_C3,Vol_iC4,Vol_nC4,Vol_iC5,Vol_nC5,Vol_nC6,Vol_nC7,Vol_nC8,Vol_nC9,Vol_nC10,Vol_N2,Vol_CO2,z,densidad,PCS,IW
0,Otros,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,Otros,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
acambuco,Otros,0,1371.4641935483871,0.0,0.0,,acambuco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
aguadacanepa,Hub Centro (resto),VMN,0.0,1.0,0.0,,aguadacanepa,0.7518323333333333,0.13297466666666663,0.071394,0.007239,0.01787533333333333,0.002461000000000001,0.002651,0.0005030666666666666,0.00014373333333333332,7.186666666666666e-05,0.0,0.0,0.009604000000000001,0.0032499999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962339510884118,0.745584504375694,11458.96718706134,13270.798013856545
aguadadecastro,APO / Aguada de Castro,CO (Troncal),1081.1427021360093,0.1,108.11427021360095,,aguadadecastro,0.971614334897953,0.0179859487948695,0.00127410791462967,0.000160252989262409,0.000122725291776915,1.85282087585359e-05,7.32793950899874e-06,1.27012891489628e-05,1.67694988763765e-06,0.0,0.0,0.0,0.00194452886970879,0.00685768654050757,105.04537474656546,1.9445377280565117,0.13774924736355976,0.017325634983653377,0.013268355357212408,0.002003163768294358,0.000792254832184812,0.0013731906071120417,0.00018130221328672465,0.0,0.0,0.0,0.21023131965784417,0.7414137756806097,0.9979158287043074,0.572919119228265,9091.324218777749,12011.036541663992
aguadadecastro,APO / Aguada de Castro,NEUII,1081.1427021360093,0.065,70.2742756388406,,aguadadecastro,0.971614334897953,0.0179859487948695,0.00127410791462967,0.000160252989262409,0.000122725291776915,1.85282087585359e-05,7.32793950899874e-06,1.27012891489628e-05,1.67694988763765e-06,0.0,0.0,0.0,0.00194452886970879,0.00685768654050757,68.27949358526753,1.2639495232367324,0.08953701078631382,0.011261662739374694,0.008624430982188064,0.0013020564493913325,0.0005149656409201278,0.000892573894622827,0.000117846438636371,0.0,0.0,0.0,0.13665035777759868,0.4819189541923963,0.9979158287043074,0.572919119228265,9091.324218777749,12011.036541663992
aguadadecastro,APO / Aguada de Castro,GPM,1081.1427021360093,0.8350000000000001,902.7541562835679,,aguadadecastro,0.971614334897953,0.0179859487948695,0.00127410791462967,0.000160252989262409,0.000122725291776915,1.85282087585359e-05,7.32793950899874e-06,1.27012891489628e-05,1.67694988763765e-06,0.0,0.0,0.0,0.00194452886970879,0.00685768654050757,877.1288791338216,16.236890029271873,1.150206215485724,0.1446690521135057,0.1107907672327236,0.016726417465257888,0.006615327848743181,0.011466141569385548,0.0015138734809441508,0.0,0.0,0.0,1.7554315191429988,6.190805026933091,0.9979158287043074,0.572919119228265,9091.324218777749,12011.036541663992
aguadadelaarena,Aguada De La Arena,VMN,4357.36922390542,0.3417489345620339,1489.1262897630738,,aguadadelaarena,0.8884696666666666,0.07918706666666667,0.0174681,0.0036704333333333334,0.00267,0.0008211333333333333,0.00035353333333333343,0.0004488633333334917,0.00012824666666671193,6.412333333335596e-05,0.0,0.0,0.0022410333333333335,0.004477799999999999,1323.0435382903681,117.91954278255452,26.01220694221035,5.465738771489378,3.9759671936674073,1.222771234067452,0.5264557809742388,0.6684141901775884,0.1909754829078824,0.0954877414539412,0.0,0.0,3.3371816529020406,6.6680097003010905,0.997393572562386,0.629178931447058,9923.688209015478,12510.827182242037
aguadadelaarena,Aguada De La Arena,GPA (a MEGA),4357.36922390542,0.6582510654379661,2868.242934142346,,aguadadelaarena,0.8884696666666666,0.07918706666666667,0.0174681,0.0036704333333333334,0.00267,0.0008211333333333333,0.00035353333333333343,0.0004488633333334917,0.00012824666666671193,6.412333333335596e-05,0.0,0.0,0.0022410333333333335,0.004477799999999999,2548.3468436164717,227.12774444212556,50.102754397891914,10.52769447357387,7.658208634160063,2.355209881322085,1.0140194853171243,1.287449084229368,0.3678425954941052,0.1839212977470526,0.0,0.0,6.427828023510802,12.843418210502593,0.997393572562386,0.629178931447058,9923.688209015478,12510.827182242037
aguadadelchanar,Hub Centro (resto),VMN,98.22870967741937,1.0,98.22870967741937,,aguadadelchanar,0.7518323333333333,0.13297466666666663,0.071394,0.007239,0.01787533333333333,0.002461000000000001,0.002651,0.0005030666666666666,0.00014373333333333332,7.186666666666666e-05,0.0,0.0,0.009604000000000001,0.0032499999999999994,73.85151999709679,13.061929926451612,7.012940498709678,0.7110776293548389,1.7558709283870968,0.24174085451612917,0.26040430935483877,0.049415589548387095,0.014118739870967744,0.007059369935483872,0.0,0.0,0.9433885277419358,0.3192433064516129,0.9962339510884118,0.745584504375694,11458.96718706134,13270.798013856545
aguadadelchivatoaguadabocarey,Otros,MEGA,-0.5032830476261716,1.0,-0.5032830476261716,,aguadadelchivatoaguadabocarey,0.8371291774281999,0.09450427150726318,0.03968374800682068,0.007354762434959412,0.01014241534471512,0.0017210679699977238,0.0010587518935402235,0.0006131435198088487,0.00026270153000950813,8.240123648041239e-05,0.0,0.0,0.003786024212837219,0.003661534915367762,-0.4213129236728546,-0.04756239777786658,-0.019972157638101725,-0.003701527252832856,-0.005104505704978673,-0.0008661843331122429,-0.0005328518796609037,-0.00030858473928163524,-0.00013221322663924343,-4.1471145424026814e-05,-0.0,-0.0,-0.001905441804223193,-0.0018427884511959237,0.996916569266359,0.6785837813576644,10604.375953303768,12873.106982399171
aguadafederal,Hub Centro (resto),VMN,67.66451612903226,1.0,67.66451612903226,,aguadafederal,0.7518323333333333,0.13297466666666663,0.071394,0.007239,0.01787533333333333,0.002461000000000001,0.002651,0.0005030666666666666,0.00014373333333333332,7.186666666666666e-05,0.0,0.0,0.009604000000000001,0.0032499999999999994,50.872371045161294,8.997666477419353,4.83084046451613,0.4898234322580646,1.2095257806451611,0.16652237419354846,0.17937863225806455,0.03403976258064516,0.009725646451612903,0.004862823225806451,0.0,0.0,0.649850012903226,0.21990967741935483,0.9962339510884118,0.745584504375694,11458.96718706134,13270.798013856545
aguadapichanaeste,Aguada Pichana Este,TOTAL - APE / ASR,11598.026451645159,1.0,11598.026451645159,,aguadapichanaeste,0.848530419,0.08771376666666666,0.030105800000000005,0.0062064,0.005760966666666666,0.0012305999999999997,0.0008195666666666667,0.0007060909999999999,0.00029919366666666665,7.172966666666666e-05,0.0,0.0,0.004479266666666667,0.014076200000000004,9841.278244587551,1017.3065859734314,349.1678647479389,71.98199136949052,66.81584378704602,14.272531351394528,9.505355878886652,8.189262095268582,3.4700560601647044,0.83192257136769,0.0,0.0,51.95065328397244,163.25613993864764,0.9971031448626912,0.6670491346152817,10200.202659207302,12489.063907703761
aguadapichanaoeste,APO / Aguada de Castro,CO (Troncal),6334.410141329297,0.1,633.4410141329298,,aguadapichanaoeste,0.9716145152119411,0.0179859487948695,0.00127410791462967,0.000160252989262409,0.000122725291776915,1.85282087585359e-05,7.32793950899874e-06,1.27012891489628e-05,1.67694988763765e-06,0.0,0.0,0.0,0.00194452886970879,0.00685768654050757,615.4604838621269,11.393037644765084,0.8070722095578106,0.10151081603621387,0.07773923328292875,0.011736527346073613,0.0046418174340849255,0.008045517479314573,0.0010622488374752957,0.0,0.0,0.0,1.2317443392390957,4.3439399168248585,0.9979158279718089,0.5729192197259196,9091.325852723636,12011.037646909577
aguadapichanaoeste,APO / Aguada de Castro,NEUII,6334.410141329297,0.065,411.7366591864043,,aguadapichanaoeste,0.9716145152119411,0.0179859487948695,0.00127410791462967,0.000160252989262409,0.000122725291776915,1.85282087585359e-05,7.32793950899874e-06,1.27012891489628e-05,1.67694988763765e-06,0.0,0.0,0.0,0.00194452886970879,0.00685768654050757,400.04931451038243,7.405474469097304,0.5245969362125767,0.065982030423539,0.050530501633903685,0.007628742774947847,0.003017181332155201,0.005229586361554472,0.0006904617443589422,0.0,0.0,0.0,0.8006338205054121,2.8235609459361575,0.9979158279718089,0.5729192197259196,9091.325852723636,12011.037646909577
aguadapichanaoeste,APO / Aguada de Castro,GPM,6334.410141329297,0.8350000000000001,5289.232468009964,,aguadapichanaoeste,0.9716145152119411,0.0179859487948695,0.00127410791462967,0.000160252989262409,0.000122725291776915,1.85282087585359e-05,7.32793950899874e-06,1.27012891489628e-05,1.67694988763765e-06,0.0,0.0,0.0,0.00194452886970879,0.00685768654050757,5139.09504024876,95.13186433378844,6.739052949807718,0.8476153139023858,0.6491225979124551,0.09800000333971466,0.03875917557460913,0.06718007095227668,0.008869777792918719,0.0,0.0,0.0,10.28506523264645,36.27189830548757,0.9979158279718089,0.5729192197259196,9091.325852723636,12011.037646909577
aguadapichanaoestelng,ARG LNG,CO (Troncal),0.0,0.1,0.0,,aguadapichanaoestelng,0.9716145152119411,0.0179859487948695,0.00127410791462967,0.000160252989262409,0.000122725291776915,1.85282087585359e-05,7.32793950899874e-06,1.27012891489628e-05,1.67694988763765e-06,0.0,0.0,0.0,0.00194452886970879,0.00685768654050757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979158279718089,0.5729192197259196,9091.325852723636,12011.037646909577
