Inyección,Area,VMN,VMS,GPA (a Chile),GPA (a MEGA),Pampa SCH,Pampa EM - BM,TOTAL - APE / ASR,YPF - RDM,TTY,MEGA,CO (Troncal),CO (Paralelo),NEUI,NEUII,GPM,BdP,TBX El Porton,BU3,BU4,VM LIQ,TTY-PC,Otros
Secundaria,VMN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2546.505717617134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Secundaria,VMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.5833333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Secundaria,GPA (a Chile),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
Secundaria,GPA (a MEGA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-197.99905476038154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Secundaria,Pampa SCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4493.995550611791,1797.9977753058954,0.0,0.0,1797.9977753058954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Secundaria,Pampa EM - BM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-232.66666666666666,0.0,-465.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Secundaria,TOTAL - APE / ASR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7996.468151129589,3000.0,0.0,0.0,3500.531848870411,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Secundaria,YPF - RDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1220.1465643781455,0.0,0.0,0.0,0.0,0.0,2800.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0
Secundaria,TBX El Porton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terciaria,TTY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,11000.0,-11942.910949049532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terciaria,MEGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,0.0,-28669.639315781682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terciaria,VM LIQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.78448422373485,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuaternaria,CO (Troncal),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6329.106875927668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuaternaria,CO (Paralelo),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26917.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuaternaria,NEUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2387.9658610018278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuaternaria,NEUII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6345.833924316936,0.0,1499.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuaternaria,GPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29483.160949049532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuaternaria,TTY-PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.78448422373485,0.0
Cuaternaria,BdP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3401.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0
Cuaternaria,Otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9278.155391642198
